ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,circ_mv,adj_factor
000001.SZ,20241225,11.86,12.02,11.84,11.92,11.86,0.06,0.5059,1475282.94,1759956.63,0.7602,1.8078,4.9694,0.5564,23131854.492,23131496.0934,127.7841
000002.SZ,20241225,7.71,7.73,7.47,7.54,7.73,-0.19,-2.458,1517662.88,1146549.84,1.5619,2.3442,0.0,0.3842,8995754.9411,7326569.6422,181.704
000004.SZ,20241225,14.63,14.63,14.63,14.63,16.25,-1.62,-9.9692,35453.0,51867.739,2.8073,3.7961,0.0,12.1237,193672.3526,184759.4801,4.064
000006.SZ,20241225,8.25,8.27,7.56,7.73,8.24,-0.51,-6.1893,400716.66,311517.827,2.9683,4.711,0.0,1.6183,1043546.1706,1043540.2571,39.74
000007.SZ,20241225,6.79,6.89,6.52,6.63,6.81,-0.18,-2.6432,47701.48,31825.919,1.3769,2.2421,81.1694,17.8146,229695.0532,229695.0532,8.284
000008.SZ,20241225,3.15,3.32,3.1,3.2,3.15,0.05,1.5873,3396008.04,1088842.617,12.6433,20.9165,0.0,2.5743,869240.8586,859527.7971,22.408
000009.SZ,20241225,9.5,9.55,9.26,9.35,9.5,-0.15,-1.5789,146563.76,136982.982,0.5744,0.9577,52.0499,2.3765,2411565.0573,2385587.3529,8.977
000010.SZ,20241225,2.83,2.83,2.67,2.73,2.83,-0.1,-3.5336,252951.0,69063.114,4.8094,5.3393,0.0,14.3483,313855.0757,143584.7216,10.775
000011.SZ,20241225,8.92,9.01,8.7,8.91,8.92,-0.01,-0.1121,52061.4,46013.469,0.9889,2.7836,22.4775,1.1856,531017.371,469089.7088,4.411
000012.SZ,20241225,5.4,5.42,5.32,5.35,5.4,-0.05,-0.9259,112381.9,60072.316,0.5736,0.9603,16.8427,1.1675,1642820.2772,1048214.6101,29.9276
000014.SZ,20241225,11.36,11.42,10.8,11.1,11.4,-0.3,-2.6316,61018.01,67342.572,2.5209,3.8205,36.5359,1.6244,268671.3086,268671.3086,6.776
000016.SZ,20241225,5.21,5.49,5.0,5.17,5.22,-0.05,-0.9579,1402253.93,733202.073,8.7828,13.0704,0.0,3.0795,1244907.7759,825438.9946,22.375
000017.SZ,20241225,6.14,6.14,5.79,5.93,6.15,-0.22,-3.5772,145357.56,86030.323,4.7975,6.0698,201.62,12.9256,408686.6653,179670.0842,2.683
000019.SZ,20241225,6.63,6.64,6.45,6.57,6.62,-0.05,-0.7553,63164.42,41187.767,1.5176,2.3332,23.7994,1.5648,757215.6619,273454.1794,4.755
000020.SZ,20241225,13.16,13.24,12.36,12.76,13.16,-0.4,-3.0395,27784.01,35290.05,1.5336,4.4903,238.6332,9.4792,361313.7257,231167.0389,1.752
000021.SZ,20241225,20.26,20.42,19.66,19.76,20.28,-0.52,-2.5641,496775.66,992959.319,3.1836,4.8615,35.8798,2.6667,3083721.0739,3083397.2569,14.5798
