ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,circ_mv,adj_factor
000001.SZ,20241219,11.59,11.64,11.54,11.59,11.65,-0.06,-0.515,697379.04,808465.664,0.3594,0.8546,4.8318,0.541,22491459.1915,22491110.715,127.7841
000002.SZ,20241219,8.0,8.01,7.82,7.91,8.14,-0.23,-2.8256,1838122.53,1451541.257,1.8917,2.8392,0.0,0.4031,9437191.1916,7686096.2692,181.704
000004.SZ,20241219,18.75,20.63,18.74,20.63,18.75,1.88,10.0267,366653.18,751937.656,29.0331,39.2588,0.0,17.0958,273100.5218,260532.3359,4.064
000006.SZ,20241219,8.6,9.0,8.57,8.95,8.71,0.24,2.7555,369652.34,324818.097,2.7382,4.3458,0.0,1.8737,1208245.5662,1208238.7194,39.74
000007.SZ,20241219,6.85,7.04,6.85,6.94,6.99,-0.05,-0.7153,54546.0,37853.674,1.5744,2.5638,84.9646,18.6476,240434.9425,240434.9425,8.284
000008.SZ,20241219,2.99,3.03,2.95,2.99,3.02,-0.03,-0.9934,930553.61,277551.274,3.4644,5.7314,0.0,2.4054,812196.9272,803121.2854,22.408
000009.SZ,20241219,9.47,9.57,9.37,9.52,9.53,-0.01,-0.1049,151181.29,143142.67,0.5925,0.9879,52.9962,2.4197,2455411.6947,2428961.6684,8.977
000010.SZ,20241219,2.97,3.28,2.94,3.07,2.98,0.09,3.0201,741761.0,231189.18,14.1032,15.657,0.0,16.1353,352943.2536,161467.0678,10.775
000011.SZ,20241219,9.31,9.49,9.26,9.43,9.41,0.02,0.2125,48930.0,45983.197,0.9294,2.6162,23.7893,1.2548,562008.2838,496466.437,4.411
000012.SZ,20241219,5.41,5.42,5.33,5.41,5.43,-0.02,-0.3683,151824.59,81634.241,0.7749,1.2973,17.0316,1.1806,1661244.4299,1059970.2879,29.9276
000014.SZ,20241219,12.26,12.58,12.14,12.39,12.45,-0.06,-0.4819,72881.24,89886.728,3.011,4.5633,40.782,1.8132,299895.2715,299895.2715,6.776
000016.SZ,20241219,4.89,5.47,4.84,5.47,4.97,0.5,10.0604,1255299.75,658054.904,7.8624,11.7006,0.0,3.2582,1317146.1382,873336.8086,22.375
000017.SZ,20241219,6.84,6.95,6.75,6.88,6.95,-0.07,-1.0072,111387.4,76287.861,3.6763,4.6513,233.92,14.9963,474159.2339,208453.6559,2.683
000019.SZ,20241219,6.81,6.83,6.66,6.8,6.85,-0.05,-0.7299,89993.6,60695.302,2.1622,3.3243,24.6326,1.6196,783723.9727,283027.1568,4.755
000020.SZ,20241219,14.01,14.22,13.86,14.12,14.15,-0.03,-0.212,18662.0,26225.103,1.0301,3.0161,264.0674,10.4896,399823.6525,255805.5321,1.752
000021.SZ,20241219,19.16,20.07,19.08,20.0,19.44,0.56,2.8807,605595.48,1195437.518,3.881,6.4806,36.3156,2.6991,3121175.176,3120847.426,14.5798
000025.SZ,20241219,17.92,18.05,17.61,17.87,18.05,-0.18,-0.9972,46004.26,81854.292,1.1713,2.8885,50.467,4.5348,770301.2178,701894.8578,2.753
000026.SZ,20241219,10.99,11.03,10.79,10.96,11.04,-0.08,-0.7246,49790.0,54306.884,1.3727,2.7575,16.7664,1.3197,444717.3517,397527.2589,8.734
