vol_ratio,turnover_rate,pe_ttm,bias_5,bias_20,ma5_slope,ma20_slope,rsi_14,std_20_ratio,position_20d,position_250d,macd_dif,macd_dea,macd_hist,pct_chg_1d,pct_chg_5d,pct_chg_20d,index_pct_chg,sector_pct_chg,moneyflow_score,tech_score,new_score,ts_code,trade_date,label
1.0,0.0,0.0,-0.5666194,0.8163293,0.1537816,-0.13663734,48.88183,1.6608838,0.62309474,0,-44.564087,-105.692055,122.25593,-2.3749,0.77811,-2.6425993,0,0,0,0,0,600519.SH,20240102,0
1.0,0.0,0.0,8.191974,-6.158042,1.8284463,-0.57799345,32.83195,12.661654,0.32495344,0,-3.739659,-0.74298376,-5.9933505,1.6323,9.049208,-11.024158,0,0,0,0,0,300364.SZ,20240102,0
1.0,0.0,0.0,-0.91063434,-0.5989353,0.04323523,-0.097705595,44.80067,2.2671626,0.47332925,0,-5.7751646,-7.8240304,4.0977306,-2.7273,0.21854511,-1.9298335,0,0,0,0,0,002594.SZ,20240102,1
1.0,0.0,0.0,3.9955845,31.707941,2.103035,2.5617487,82.00514,19.485167,1.0,0,20.514217,14.658225,11.711983,2.8218,10.99138,61.105316,0,0,0,0,0,603392.SH,20240102,1
1.0,0.0,0.0,2.5971239,-12.4582205,0.17200603,-1.0263963,22.259136,10.3325615,0.16746412,0,-14.918817,-8.689153,-12.459327,1.6481,0.84388185,-19.154333,0,0,0,0,0,002555.SZ,20240102,0
1.0,0.0,0.0,1.9919227,3.6143322,0.63373977,0.3226594,61.697247,2.3145123,1.0,0,2.0569649,2.0847564,-0.055582963,1.2228,3.1855955,6.6189623,0,0,0,0,0,600150.SH,20240102,0
1.0,0.0,0.0,0.8861622,2.6463513,0.23915271,0.21285376,67.5,1.4903871,1.0,0,0.7900314,0.6430249,0.29401293,1.4567,1.1965812,4.3171806,0,0,0,0,0,600900.SH,20240102,0
1.0,0.0,0.0,12.809393,59.967003,7.9840093,3.851396,95.03106,26.807747,1.0,0,2.057357,0.8924383,2.3298376,1.5714,48.74477,86.45105,0,0,0,0,0,603628.SH,20240102,1
1.0,0.0,0.0,1.5045342,1.3343806,0.12381346,0.14626685,56.282204,2.565138,0.5619864,0,0.1994206,0.26493698,-0.13103274,2.8184,0.6128703,2.9681597,0,0,0,0,0,601919.SH,20240102,0
1.0,0.0,0.0,10.311143,45.913094,6.6769586,3.2079618,82.582275,21.538784,1.0,0,5.2344923,2.9865782,4.495828,2.0757,39.606228,74.22857,0,0,0,0,0,300093.SZ,20240102,0
1.0,0.0,0.0,-0.3184631,1.3406075,0.2832507,0.013425187,62.930984,1.6709507,0.7057583,0,-35.95362,-92.562965,113.21869,0.5335,1.4371258,0.26561987,0,0,0,0,0,600519.SH,20240103,0
1.0,0.0,0.0,6.757905,11.046498,3.609824,0.979471,59.132843,5.656412,1.0,0,2.9558463,2.285547,1.340599,2.6667,19.499374,21.167513,0,0,0,0,0,301236.SZ,20240103,0
1.0,0.0,0.0,8.848865,21.179098,3.7367992,0.7354959,80.213905,8.879897,1.0,0,1.0298991,0.46227452,1.1352491,3.2498,19.827587,13.701431,0,0,0,0,0,002584.SZ,20240103,0
1.0,0.0,0.0,1.4176663,2.6915114,0.27337343,0.15205972,63.88889,1.303676,1.0,0,0.029085103,0.012001617,0.034166973,1.6393,1.3623978,3.0470915,0,0,0,0,0,601288.SH,20240103,0
1.0,0.0,0.0,-0.7623784,-0.22313818,0.14611308,-0.08180202,52.146664,2.2478554,0.5082771,0,-5.421648,-7.352195,3.8610938,0.296,0.7405476,-1.6145462,0,0,0,0,0,002594.SZ,20240103,0
1.0,0.0,0.0,3.271028,-4.121475,1.8320247,0.49046323,46.08434,8.238442,0.3181818,0,0.1494524,1.2737752,-2.2486455,3.6342,9.541512,11.335012,0,0,0,0,0,002292.SZ,20240103,0
1.0,0.0,0.0,3.1853082,0.2570694,1.5167475,-0.4640895,45.131084,3.940276,0.46905538,0,-17.827501,-20.194988,4.734973,3.5938,7.804878,-8.50966,0,0,0,0,0,600895.SH,20240103,0
1.0,0.0,0.0,6.3157897,24.010069,2.5696394,2.0102706,73.2659,13.368908,1.0,0,47.409603,30.4736,33.87201,6.204,13.35578,46.58926,0,0,0,0,0,600610.SH,20240103,0
1.0,0.0,0.0,4.0576615,-10.07659,0.5044001,-0.764617,26.592178,10.624743,0.22647528,0,-14.604081,-9.925742,-9.356678,1.9351,2.4710832,-14.629873,0,0,0,0,0,002555.SZ,20240103,0
1.0,0.0,0.0,-2.251762,-3.1949635,-0.06184221,-0.62059087,44.961872,4.162567,0.05778781,0,-231.94983,-270.8111,77.72254,-1.3131,-0.31553113,-11.427237,0,0,0,0,0,000568.SZ,20240103,0
1.0,0.0,0.0,-1.8119779,-0.1114093,0.022831427,-0.043613363,62.5718,1.6633314,0.47588193,0,-44.49196,-83.67105,78.35819,-1.4758,0.11637253,-0.86605513,0,0,0,0,0,600519.SH,20240104,0
1.0,0.0,0.0,2.5335557,-5.5475283,2.5743382,-0.91521984,38.56982,12.555462,0.29422718,0,-3.3051007,-1.7124982,-3.1852052,2.0553,13.945278,-16.358925,0,0,0,0,0,300364.SZ,20240104,0
1.0,0.0,0.0,-0.7467979,-5.437634,0.23418224,-0.08141867,33.648792,5.067876,0.12100457,0,2.2464218,8.311181,-12.1295185,2.2786,1.1909826,-1.6942148,0,0,0,0,0,300502.SZ,20240104,0
1.0,0.0,0.0,-0.9991383,-0.08980633,0.16131186,-0.21099989,52.92621,2.0542722,0.5586822,0,-5.148413,-6.9859056,3.674985,-0.0777,0.82005745,-4.060838,0,0,0,0,0,002594.SZ,20240104,1
1.0,0.0,0.0,3.1554036,10.589595,-1.6295913,1.0569048,63.326874,14.078571,0.55060035,0,1.4345759,1.0877974,0.69355714,3.9205,-7.432751,23.325998,0,0,0,0,0,002855.SZ,20240104,0
1.0,0.0,0.0,3.4968317,6.515307,2.8978508,0.27853465,57.954544,4.08513,1.0,0,0.46989116,-0.24021497,1.4202123,3.3998,15.748032,5.5023923,0,0,0,0,0,000676.SZ,20240104,0
1.0,0.0,0.0,6.1163487,5.8972006,2.4258125,0.19542477,55.91398,4.3321238,0.87969923,0,-0.62925196,-0.9248601,0.59121627,4.1761,12.560976,3.824522,0,0,0,0,0,000158.SZ,20240104,0
