vol_ratio,turnover_rate,pe_ttm,pct_chg_1d,pct_chg_5d,pct_chg_20d,ma5_slope,ma20_slope,bias_5,bias_20,rsi_14,std_20_ratio,position_20d,position_250d,macd_dif,macd_dea,macd_hist,index_pct_chg,sector_pct_chg,moneyflow_score,tech_score,new_score,label,trade_date,ts_code
1.0,0.0,0.0,7.8344,1.3194516,9.206588,0.27794182,0.45645162,6.418674,7.7946086,64.86486,3.6272202,1.0,0.0,1.0514629,1.0184113,0.066103324,0.0,0.0,0.0,0.0,0.0,0,20230403,002405.SZ
1.0,0.0,0.0,2.5391,2.941176,1.4983073,0.588466,0.07645444,2.3790965,3.5043626,75.22119,1.3062762,1.0,0.0,-0.013328077,-0.5280417,1.0294273,0.0,0.0,0.0,0.0,0.0,0,20230403,600030.SH
1.0,0.0,0.0,9.2832,11.778855,26.4446,2.3870435,1.2722815,10.622102,20.13952,81.55619,8.450147,1.0,0.0,2.5895052,1.7568634,1.6652836,0.0,0.0,0.0,0.0,0.0,0,20230403,002624.SZ
1.0,0.0,0.0,10.0162,-5.6786623,-0.583939,-1.2446855,-0.028980128,4.6726127,-1.2936158,43.1562,5.038036,0.5846775,0.0,-0.23800494,2.0177116,-4.511433,0.0,0.0,0.0,0.0,0.0,0,20230403,000066.SZ
1.0,0.0,0.0,11.2253,6.298983,30.53461,1.3206077,1.4096041,9.977722,18.845121,69.850365,9.519302,1.0,0.0,5.2846284,4.028193,2.5128706,0.0,0.0,0.0,0.0,0.0,0,20230403,688036.SH
1.0,0.0,0.0,8.6823,7.9107575,4.8275905,1.6042794,0.24949107,7.692308,8.080657,72.24882,2.2399633,1.0,0.0,-0.039312832,-0.1128164,0.14700714,0.0,0.0,0.0,0.0,0.0,1,20230403,600958.SH
1.0,0.0,0.0,11.2527,14.660827,60.244644,3.0454535,2.6646826,15.571237,38.076412,80.722885,16.986288,1.0,0.0,13.739173,10.340068,6.79821,0.0,0.0,0.0,0.0,0.0,0,20230403,300002.SZ
1.0,0.0,0.0,3.8682,13.993708,13.993708,2.6184165,0.6612674,3.9277534,7.026869,54.83029,6.0160403,0.77564126,0.0,1.4992205,1.4235324,0.15137632,0.0,0.0,0.0,0.0,0.0,1,20230403,000617.SZ
1.0,0.0,0.0,-2.0629,-5.0835056,-5.0487766,-1.0312082,-0.2601824,-2.7260695,-1.8808475,47.392097,2.8510547,0.48069733,0.0,-2.5946531,-3.4220269,1.6547472,0.0,0.0,0.0,0.0,0.0,1,20230403,603259.SH
1.0,0.0,0.0,5.6044,2.780738,40.49707,0.5690502,1.8256109,4.5701795,24.401285,73.626366,14.352349,1.0,0.0,2.1691484,1.6328181,1.0726606,0.0,0.0,0.0,0.0,0.0,0,20230403,000158.SZ
1.0,0.0,0.0,6.6079,17.809334,27.985903,3.417141,1.3058324,9.287977,17.89782,72.21659,6.9609118,1.0,0.0,3.26192,2.0522645,2.419311,0.0,0.0,0.0,0.0,0.0,0,20230403,605358.SH
1.0,0.0,0.0,5.7816,6.695467,44.27569,1.3172437,1.9345614,3.590002,23.685528,77.30735,13.514403,1.0,0.0,10.413894,7.9321814,4.963424,0.0,0.0,0.0,0.0,0.0,0,20230403,300655.SZ
1.0,0.0,0.0,10.0053,8.172836,12.873443,1.6318487,0.64365464,6.258947,12.148523,64.50551,4.5564675,1.0,0.0,1.9909607,1.1718926,1.638136,0.0,0.0,0.0,0.0,0.0,1,20230403,603000.SH
1.0,0.0,0.0,5.7493,2.1392882,19.871805,0.43182805,0.84237266,2.6438637,0.7792022,48.767742,8.029479,0.58912396,0.0,1.4830521,1.96858,-0.9710559,0.0,0.0,0.0,0.0,0.0,0,20230403,601698.SH
1.0,0.0,0.0,9.9872,13.474244,41.050896,2.7221785,1.9366331,11.587428,30.557035,79.27928,12.484149,1.0,0.0,12.499104,8.599669,7.798868,0.0,0.0,0.0,0.0,0.0,0,20230403,600100.SH
1.0,0.0,0.0,9.5349,12.717954,3.483992,2.494469,0.1813044,7.8508377,7.5097055,64.1705,2.8044796,1.0,0.0,-1.195901,-1.9896735,1.587545,0.0,0.0,0.0,0.0,0.0,1,20230403,300408.SZ
1.0,0.0,0.0,12.2449,4.0318484,18.716272,0.85030276,0.9002855,8.77485,13.190174,69.085526,4.9244976,1.0,0.0,2.105256,1.7462026,0.7181067,0.0,0.0,0.0,0.0,0.0,0,20230403,300413.SZ
1.0,0.0,0.0,3.5211,7.1038303,2.5581274,1.3879012,0.12696521,3.194097,1.6743962,46.838394,3.431181,0.60309285,0.0,0.13146159,0.16454057,-0.06615799,0.0,0.0,0.0,0.0,0.0,0,20230403,600938.SH
1.0,0.0,0.0,2.5676,-7.0612216,-2.2746742,-1.509203,-0.114500314,0.8414538,-1.5031884,46.55397,4.157625,0.30790985,0.0,0.796041,1.593675,-1.595268,0.0,0.0,0.0,0.0,0.0,0,20230403,002156.SZ
1.0,0.0,0.0,1.3514,7.526882,8.892914,1.4593468,0.4326325,2.7397242,5.4945045,62.857136,2.7303436,1.0,0.0,0.21539539,0.18718293,0.056424923,0.0,0.0,0.0,0.0,0.0,1,20230403,601857.SH
1.0,0.0,0.0,3.8107,-2.8529043,18.399122,-0.60786575,0.8951065,4.1281743,14.178931,72.70902,9.537575,0.8867922,0.0,4.939089,3.9826734,1.9128311,0.0,0.0,0.0,0.0,0.0,0,20230403,000034.SZ
1.0,0.0,0.0,0.1754,-0.6740654,-5.9695387,-0.1357458,-0.31343243,0.14908335,-0.94759023,51.89004,1.4587185,0.16791037,0.0,-1.9582216,-2.0725842,0.22872534,0.0,0.0,0.0,0.0,0.0,0,20230403,601318.SH
1.0,0.0,0.0,-2.1792,1.0842397,1.5926205,0.21434514,0.07996954,-0.29615268,1.942972,51.898727,2.3541543,0.72999954,0.0,0.29170564,0.22461873,0.13417381,0.0,0.0,0.0,0.0,0.0,1,20230403,601899.SH
1.0,0.0,0.0,1.9796,-14.369969,8.051422,-3.2254171,0.4079255,-0.69643253,9.043735,64.84019,12.732748,0.58449626,0.0,4.7744713,4.5738144,0.40131378,0.0,0.0,0.0,0.0,0.0,0,20230403,002229.SZ
1.0,0.0,0.0,19.9869,13.88718,44.531876,2.8509636,2.0563128,13.661678,30.789225,83.40859,12.232148,1.0,0.0,1.0769765,0.74617255,0.661608,0.0,0.0,0.0,0.0,0.0,1,20230403,300846.SZ
1.0,0.0,0.0,7.2079,2.988337,33.933647,0.6255719,1.544568,7.1266103,20.07138,83.50516,11.988214,1.0,0.0,3.7171733,3.0027819,1.4287826,0.0,0.0,0.0,0.0,0.0,1,20230403,002558.SZ
1.0,0.0,0.0,10.0,25.59976,92.3721,4.6602917,3.654296,9.233049,46.84111,84.40112,23.532665,1.0,0.0,11.654698,8.932636,5.4441237,0.0,0.0,0.0,0.0,0.0,1,20230403,603083.SH
1.0,0.0,0.0,1.3514,2.040816,6.8883524,0.40909088,0.34129652,1.8560413,5.559463,75.00001,3.7191956,1.0,0.0,0.50983316,0.42921114,0.16124406,0.0,0.0,0.0,0.0,0.0,0,20230403,000725.SZ
1.0,0.0,0.0,7.019,13.187769,42.417572,2.6138127,1.962778,9.311737,29.26391,93.56136,14.236899,1.0,0.0,5.726501,3.9995754,3.4538507,0.0,0.0,0.0,0.0,0.0,1,20230403,002517.SZ
1.0,0.0,0.0,3.0735,4.9044795,9.186042,0.9784255,0.455812,3.6263704,7.8647037,70.62819,4.3976483,1.0,0.0,1.6996776,0.64146936,2.1164165,0.0,0.0,0.0,0.0,0.0,1,20230403,603501.SH
1.0,0.0,0.0,0.2918,0.46769792,-7.1081104,0.09337581,-0.3770286,0.19823849,-1.0835657,47.381508,1.8982401,0.10245912,0.0,-4.2239966,-4.712523,0.9770529,0.0,0.0,0.0,0.0,0.0,0,20230403,600036.SH
1.0,0.0,0.0,13.1222,7.5268826,19.56955,1.5762218,0.9633118,10.840167,16.593145,75.71801,6.1474676,1.0,0.0,1.0721121,0.3520479,1.4401283,0.0,0.0,0.0,0.0,0.0,0,20230403,300803.SZ
1.0,0.0,0.0,2.9803,3.373648,-1.3365738,0.67870414,-0.06996567,3.281604,3.367065,67.82177,1.2713,1.0,0.0,-0.6992534,-1.0837544,0.769002,0.0,0.0,0.0,0.0,0.0,0,20230403,000776.SZ
1.0,0.0,0.0,7.5385,1.7467241,20.206356,0.36663595,0.97581196,6.3926883,14.978919,73.33925,7.8838935,1.0,0.0,4.6362147,4.013323,1.2457844,0.0,0.0,0.0,0.0,0.0,0,20230403,002281.SZ
1.0,0.0,0.0,16.2811,19.579128,31.356781,3.9244428,1.5144894,15.316743,24.994017,74.23207,7.394745,1.0,0.0,4.049162,2.4812384,3.1358466,0.0,0.0,0.0,0.0,0.0,1,20230403,300168.SZ
1.0,0.0,0.0,7.9931,24.09779,64.12626,4.6000004,2.7809868,13.235607,38.50272,81.32624,16.643476,1.0,0.0,8.178264,4.7145543,6.9274187,0.0,0.0,0.0,0.0,0.0,1,20230403,301308.SZ
1.0,0.0,0.0,4.4371,-0.75518787,-0.6926967,-0.15665711,-0.036583822,3.0988507,4.9339604,67.4365,3.8502822,0.9390866,0.0,1.4325455,0.78291,1.299271,0.0,0.0,0.0,0.0,0.0,0,20230403,600487.SH
1.0,0.0,0.0,7.5439,12.258965,59.586514,2.402161,2.4578357,7.4064136,28.49489,82.370285,16.331324,1.0,0.0,9.555659,7.802872,3.5055735,0.0,0.0,0.0,0.0,0.0,0,20230403,688521.SH
1.0,0.0,0.0,-2.1759,-4.513269,-4.174062,-0.906988,-0.21040352,-3.176596,-3.1896245,50.0,1.6315688,0.0,0.0,0.11077806,0.18826143,-0.15496676,0.0,0.0,0.0,0.0,0.0,0,20230403,601919.SH
1.0,0.0,0.0,6.2884,-2.154008,85.69239,-0.45001888,3.1780026,2.672775,33.49007,72.871346,25.00667,0.9199562,0.0,8.928952,7.0044723,3.8489604,0.0,0.0,0.0,0.0,0.0,0,20230403,300688.SZ
1.0,0.0,0.0,9.3695,28.57143,43.617012,5.381796,1.9639283,14.906373,26.840824,74.62236,10.232185,1.0,0.0,5.0242524,3.8299391,2.3886266,0.0,0.0,0.0,0.0,0.0,1,20230403,603888.SH
1.0,0.0,0.0,6.9825,2.7868834,43.807335,0.5919374,1.8463848,8.517946,19.025715,70.702774,12.244169,1.0,0.0,11.364663,11.175134,0.3790595,0.0,0.0,0.0,0.0,0.0,0,20230403,300624.SZ
1.0,0.0,0.0,4.2753,8.35184,18.975607,1.6491221,0.870694,5.2381773,8.241244,60.366966,5.048438,1.0,0.0,0.7336958,0.6925347,0.082322314,0.0,0.0,0.0,0.0,0.0,0,20230403,688126.SH
1.0,0.0,0.0,11.7227,9.517865,82.666664,2.017582,2.8439553,13.78147,22.208904,64.49165,12.06846,1.0,0.0,9.161695,8.693888,0.93561286,0.0,0.0,0.0,0.0,0.0,0,20230403,300576.SZ
1.0,0.0,0.0,20.0492,19.315395,66.8376,3.967854,2.8634198,17.874395,38.971947,88.326836,16.706663,1.0,0.0,5.990963,4.3914075,3.199111,0.0,0.0,0.0,0.0,0.0,0,20230403,300299.SZ
1.0,0.0,0.0,2.4072,1.2889354,5.8955693,0.26074654,0.2962422,2.1853025,6.107065,66.77316,4.4343624,1.0,0.0,0.63899225,-0.45466647,2.1873174,0.0,0.0,0.0,0.0,0.0,1,20230403,600745.SH
1.0,0.0,0.0,0.9455,-0.5374464,-4.866352,-0.109505974,-0.25356266,1.4397397,-0.60866785,44.74974,2.2879214,0.3717686,0.0,-2.8087566,-3.1135583,0.6096031,0.0,0.0,0.0,0.0,0.0,0,20230403,603799.SH
1.0,0.0,0.0,0.8621,-0.34071904,-3.1456974,-0.068705626,-0.1584787,0.550015,-2.2556424,45.138885,2.3928986,0.23999967,0.0,0.034527022,0.13181414,-0.19457422,0.0,0.0,0.0,0.0,0.0,1,20230403,601668.SH
