ts_code,name,industry,strategy,New_Score,Pos_Sugg,close,pct_chg,pe_ttm,turnover_rate,MV_Yi
605337.SH,李子园,乳制品,▲梯量上行,53,10%,13.56,5.8548,24.6633,9.9614,52.9
600170.SH,上海建工,建筑工程,▲梯量上行,52,10%,3.18,10.0346,13.9371,6.9457,282.57
003010.SZ,若羽臣,互联网,▲梯量上行,50,12%,38.26,0.0261,77.9352,5.0069,86.52
600475.SH,华光环能,电气设备,▲梯量上行,47,10%,22.27,3.6778,37.528,5.1362,209.98
600980.SH,北矿科技,专用机械,▲梯量上行,47,10%,26.06,3.4538,44.4402,8.2963,48.94
600997.SH,开滦股份,焦炭加工,★低位强攻,56,12%,6.18,5.4608,27.8143,2.3825,98.13
603072.SH,天和磁材,矿物制品,★低位强攻,52,12%,45.99,4.8803,81.3746,11.0194,58.05
601618.SH,中国中冶,建筑工程,★低位强攻,49,12%,3.3,4.7619,17.6015,5.3408,589.14
600508.SH,上海能源,煤炭开采,★低位强攻,48,12%,12.74,4.4262,26.6848,2.513,92.07
600429.SH,三元股份,乳制品,★低位强攻,46,12%,5.45,4.2065,43.6804,3.2188,81.62
600351.SH,亚宝药业,中成药,☆缩量洗盘,50,12%,6.78,-1.1662,21.0535,1.5184,46.92
600570.SH,恒生电子,软件服务,☆缩量洗盘,49,12%,32.27,-1.1941,58.0529,1.9466,611.24
003017.SZ,大洋生物,化工原料,☆缩量洗盘,49,12%,32.08,-1.4136,29.1267,2.7675,22.23
000560.SZ,我爱我家,房产服务,☆缩量洗盘,48,12%,3.03,1.6779,66.5454,6.7262,68.35
600744.SH,华银电力,火力发电,☆缩量洗盘,46,12%,6.47,-0.3082,62.5297,2.4006,131.41
