ts_code,name,strategy,close,pct_chg,vol_ratio,patterns,position_ratio,reason
600418.SH,江淮汽车,☆缩量洗盘,53.3,0.7561,1.01,,0.59,"上升趋势中缩量回调,支撑有效"
000407.SZ,胜利股份,☆缩量洗盘,5.4,0.7463,0.68,连续缩量+地量+缩量,0.61,"上升趋势中缩量回调,支撑有效"
600790.SH,轻纺城,☆缩量洗盘,4.07,0.7426,0.9,连续缩量+地量+平量+缩量,0.64,"上升趋势中缩量回调,支撑有效"
000027.SZ,深圳能源,☆缩量洗盘,6.85,0.7353,1.0,连续缩量+平量,0.36,"上升趋势中缩量回调,支撑有效"
000685.SZ,中山公用,☆缩量洗盘,12.44,0.7287,0.73,连续缩量+地量+缩量,0.56,"上升趋势中缩量回调,支撑有效"
600158.SH,中体产业,☆缩量洗盘,9.0,0.6711,0.46,连续缩量+地量+缩量,0.36,"上升趋势中缩量回调,支撑有效"
002727.SZ,一心堂,☆缩量洗盘,14.09,0.6429,0.99,平量,0.51,"上升趋势中缩量回调,支撑有效"
000785.SZ,居然智家,☆缩量洗盘,3.16,0.6369,0.73,连续缩量+地量+缩量,0.4,"上升趋势中缩量回调,支撑有效"
600644.SH,乐山电力,☆缩量洗盘,11.13,0.6329,0.68,连续缩量+地量+缩量,0.28,"上升趋势中缩量回调,支撑有效"
002463.SZ,沪电股份,☆缩量洗盘,72.03,0.6146,0.91,平量,0.64,"上升趋势中缩量回调,支撑有效"
603181.SH,皇马科技,☆缩量洗盘,16.4,0.6135,0.81,连续缩量+地量+缩量,0.41,"上升趋势中缩量回调,支撑有效"
002223.SZ,鱼跃医疗,☆缩量洗盘,41.5,0.6061,1.02,连续缩量,0.59,"上升趋势中缩量回调,支撑有效"
603688.SH,石英股份,☆缩量洗盘,40.71,0.5682,0.74,连续缩量+缩量,0.63,"上升趋势中缩量回调,支撑有效"
002741.SZ,光华科技,☆缩量洗盘,22.33,0.5403,0.71,连续缩量+地量+缩量,0.49,"上升趋势中缩量回调,支撑有效"
002133.SZ,广宇集团,☆缩量洗盘,3.75,0.5362,0.85,连续缩量+地量+平量+缩量,0.64,"上升趋势中缩量回调,支撑有效"
002952.SZ,亚世光电,☆缩量洗盘,21.59,0.5121,1.05,平量,0.57,"上升趋势中缩量回调,支撑有效"
000409.SZ,云鼎科技,☆缩量洗盘,12.01,0.5021,0.95,平量,0.38,"上升趋势中缩量回调,支撑有效"
000966.SZ,长源电力,☆缩量洗盘,4.51,0.4454,0.76,连续缩量+地量+缩量,0.45,"上升趋势中缩量回调,支撑有效"
600710.SH,苏美达,☆缩量洗盘,11.32,0.4437,0.79,连续缩量+地量+缩量,0.64,"上升趋势中缩量回调,支撑有效"
002562.SZ,兄弟科技,☆缩量洗盘,6.93,0.4348,0.71,连续缩量+地量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
002415.SZ,海康威视,☆缩量洗盘,32.03,0.4075,0.81,缩量,0.59,"上升趋势中缩量回调,支撑有效"
601811.SH,新华文轩,☆缩量洗盘,15.23,0.3955,0.79,连续缩量+缩量,0.55,"上升趋势中缩量回调,支撑有效"
600179.SH,安通控股,☆缩量洗盘,5.13,0.3914,0.93,,0.59,"上升趋势中缩量回调,支撑有效"
002818.SZ,富森美,☆缩量洗盘,11.61,0.3457,0.45,连续缩量+缩量,0.47,"上升趋势中缩量回调,支撑有效"
000767.SZ,晋控电力,☆缩量洗盘,3.02,0.3322,0.92,地量,0.63,"上升趋势中缩量回调,支撑有效"
002157.SZ,正邦科技,☆缩量洗盘,3.32,0.3021,0.82,连续缩量+地量+缩量,0.46,"上升趋势中缩量回调,支撑有效"
002081.SZ,金螳螂,☆缩量洗盘,3.67,0.2732,0.85,连续缩量+地量+缩量,0.63,"上升趋势中缩量回调,支撑有效"
603276.SH,恒兴新材,☆缩量洗盘,18.44,0.2719,0.85,连续缩量+地量+平量+缩量,0.64,"上升趋势中缩量回调,支撑有效"
601099.SH,太平洋,☆缩量洗盘,4.28,0.2342,0.89,连续缩量+缩量,0.25,"上升趋势中缩量回调,支撑有效"
601311.SH,骆驼股份,☆缩量洗盘,9.62,0.2083,0.76,连续缩量+缩量,0.27,"上升趋势中缩量回调,支撑有效"
002344.SZ,海宁皮城,☆缩量洗盘,4.96,0.202,0.82,连续缩量+地量+缩量,0.63,"上升趋势中缩量回调,支撑有效"
600650.SH,锦江在线,☆缩量洗盘,15.89,0.1892,0.6,连续缩量+地量+缩量,0.48,"上升趋势中缩量回调,支撑有效"
002942.SZ,新农股份,☆缩量洗盘,21.64,0.1852,0.77,地量+缩量,0.42,"上升趋势中缩量回调,支撑有效"
600279.SH,重庆港,☆缩量洗盘,5.55,0.1805,1.02,平量,0.42,"上升趋势中缩量回调,支撑有效"
605099.SH,共创草坪,☆缩量洗盘,39.14,0.1792,0.54,连续缩量+地量+缩量,0.56,"上升趋势中缩量回调,支撑有效"
000910.SZ,大亚圣象,☆缩量洗盘,7.74,0.1294,0.48,地量+缩量,0.37,"上升趋势中缩量回调,支撑有效"
600757.SH,长江传媒,☆缩量洗盘,9.01,0.1111,0.77,连续缩量+缩量,0.5,"上升趋势中缩量回调,支撑有效"
600420.SH,国药现代,☆缩量洗盘,10.61,0.0943,0.91,连续缩量,0.31,"上升趋势中缩量回调,支撑有效"
002852.SZ,道道全,☆缩量洗盘,11.19,0.0894,0.8,地量+缩量,0.38,"上升趋势中缩量回调,支撑有效"
603328.SH,依顿电子,☆缩量洗盘,11.74,0.0853,0.72,地量+缩量,0.63,"上升趋势中缩量回调,支撑有效"
603080.SH,新疆火炬,☆缩量洗盘,24.81,0.0807,0.71,缩量,0.6,"上升趋势中缩量回调,支撑有效"
603218.SH,日月股份,☆缩量洗盘,14.23,0.0703,0.81,连续缩量+地量+缩量,0.59,"上升趋势中缩量回调,支撑有效"
000404.SZ,长虹华意,☆缩量洗盘,7.03,0.0,0.86,连续缩量+地量+缩量,0.35,"上升趋势中缩量回调,支撑有效"
600120.SH,浙江东方,☆缩量洗盘,6.67,0.0,0.78,连续缩量+地量+缩量,0.43,"上升趋势中缩量回调,支撑有效"
600261.SH,阳光照明,☆缩量洗盘,3.65,0.0,0.68,连续缩量+地量+缩量,0.49,"上升趋势中缩量回调,支撑有效"
600611.SH,大众交通,☆缩量洗盘,5.74,0.0,0.48,连续缩量+地量+缩量,0.32,"上升趋势中缩量回调,支撑有效"
600694.SH,大商股份,☆缩量洗盘,18.48,0.0,0.88,缩量,0.41,"上升趋势中缩量回调,支撑有效"
600755.SH,厦门国贸,☆缩量洗盘,6.9,0.0,0.72,连续缩量+地量+缩量,0.32,"上升趋势中缩量回调,支撑有效"
600784.SH,鲁银投资,☆缩量洗盘,7.17,0.0,0.77,连续缩量+地量+缩量,0.57,"上升趋势中缩量回调,支撑有效"
600816.SH,建元信托,☆缩量洗盘,2.94,0.0,0.81,地量+缩量,0.13,"上升趋势中缩量回调,支撑有效"
002075.SZ,沙钢股份,☆缩量洗盘,5.99,0.0,0.52,连续缩量+地量+缩量,0.32,"上升趋势中缩量回调,支撑有效"
002381.SZ,双箭股份,☆缩量洗盘,7.0,0.0,0.83,连续缩量+地量+缩量,0.6,"上升趋势中缩量回调,支撑有效"
002706.SZ,良信股份,☆缩量洗盘,11.11,0.0,0.75,连续缩量+地量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
601992.SH,金隅集团,☆缩量洗盘,2.02,0.0,0.39,连续缩量+地量+缩量,0.55,"上升趋势中缩量回调,支撑有效"
603318.SH,水发燃气,☆缩量洗盘,7.1,0.0,0.71,连续缩量+地量+缩量,0.54,"上升趋势中缩量回调,支撑有效"
002797.SZ,第一创业,☆缩量洗盘,7.03,0.0,0.83,连续缩量+地量+缩量,0.15,"上升趋势中缩量回调,支撑有效"
603238.SH,诺邦股份,☆缩量洗盘,19.2,0.0,0.96,,0.39,"上升趋势中缩量回调,支撑有效"
603725.SH,天安新材,☆缩量洗盘,10.08,0.0,0.7,地量+缩量,0.38,"上升趋势中缩量回调,支撑有效"
603506.SH,南都物业,☆缩量洗盘,14.16,0.0,0.88,连续缩量+地量+平量+缩量,0.55,"上升趋势中缩量回调,支撑有效"
000581.SZ,威孚高科,☆缩量洗盘,21.59,-0.0463,0.71,连续缩量+地量+缩量,0.51,"上升趋势中缩量回调,支撑有效"
603927.SH,中科软,☆缩量洗盘,20.32,-0.0492,0.94,连续缩量,0.49,"上升趋势中缩量回调,支撑有效"
002077.SZ,大港股份,☆缩量洗盘,17.94,-0.0557,0.76,平量+缩量,0.62,"上升趋势中缩量回调,支撑有效"
603015.SH,弘讯科技,☆缩量洗盘,15.59,-0.0641,0.94,,0.6,"上升趋势中缩量回调,支撑有效"
600885.SH,宏发股份,☆缩量洗盘,31.13,-0.0642,0.89,连续缩量+缩量,0.64,"上升趋势中缩量回调,支撑有效"
601798.SH,蓝科高新,☆缩量洗盘,9.7,-0.103,0.83,地量+缩量,0.42,"上升趋势中缩量回调,支撑有效"
