ts_code,name,list_date,delist_date
000625.SZ,长安汽车,19970610,
000626.SZ,远大控股,19961128,
000628.SZ,高新发展,19961118,
000629.SZ,钒钛股份,19961115,
000630.SZ,铜陵有色,19961120,
000631.SZ,顺发恒能,19961122,
000632.SZ,三木集团,19961121,
000633.SZ,合金投资,19961112,
000635.SZ,英力特,19961120,
000636.SZ,风华高科,19961129,
000637.SZ,茂化实华,19961114,
000638.SZ,*ST万方,19961126,
000639.SZ,西王食品,19961126,
000650.SZ,仁和药业,19961210,
000651.SZ,格力电器,19961118,
000652.SZ,泰达股份,19961128,
000655.SZ,金岭矿业,19961128,
000656.SZ,*ST金科,19961128,
000657.SZ,中钨高新,19961205,
000659.SZ,珠海中富,19961203,
000661.SZ,长春高新,19961218,
000663.SZ,永安林业,19961206,
000665.SZ,湖北广电,19961210,
000668.SZ,*ST荣控,19961210,
000669.SZ,ST金鸿,19961210,
000670.SZ,盈方微,19961217,
000672.SZ,上峰水泥,19961218,
000676.SZ,智度股份,19961224,
000677.SZ,恒天海龙,19961226,
000678.SZ,襄阳轴承,19970106,
000679.SZ,大连友谊,19970124,
000680.SZ,山推股份,19970122,
000681.SZ,视觉中国,19970121,
000682.SZ,东方电子,19970121,
000683.SZ,博源化工,19970131,
000685.SZ,中山公用,19970123,
000686.SZ,东北证券,19970227,
000688.SZ,国城矿业,19970120,
000690.SZ,宝新能源,19970128,
000691.SZ,*ST亚太,19970228,
000692.SZ,惠天热电,19970227,
000695.SZ,滨海能源,19970218,
001696.SZ,宗申动力,19970306,
000697.SZ,ST炼石,19970325,
000698.SZ,ST沈化,19970220,
000700.SZ,模塑科技,19970228,
000701.SZ,厦门信达,19970226,
000702.SZ,正虹科技,19970318,
000703.SZ,恒逸石化,19970328,
000705.SZ,浙江震元,19970410,
000707.SZ,双环科技,19970415,
000708.SZ,中信特钢,19970326,
000709.SZ,河钢股份,19970416,
000710.SZ,贝瑞基因,19970422,
000711.SZ,ST京蓝,19970411,
000712.SZ,锦龙股份,19970415,
000713.SZ,国投丰乐,19970422,
000715.SZ,中兴商业,19970508,
000716.SZ,黑芝麻,19970418,
000717.SZ,中南股份,19970508,
000718.SZ,苏宁环球,19970408,
000719.SZ,中原传媒,19970331,
000720.SZ,新能泰山,19970509,
000721.SZ,西安饮食,19970430,
000722.SZ,湖南发展,19970522,
000723.SZ,美锦能源,19970515,
000725.SZ,京东方Ａ,20010112,
000726.SZ,鲁泰Ａ,20001225,
000727.SZ,冠捷科技,19970520,
000728.SZ,国元证券,19970616,
000729.SZ,燕京啤酒,19970716,
000731.SZ,四川美丰,19970617,
000733.SZ,振华科技,19970703,
000735.SZ,罗牛山,19970611,
000736.SZ,*ST中地,19970425,
000737.SZ,北方铜业,19970428,
000738.SZ,航发控制,19970626,
000739.SZ,普洛药业,19970509,
000750.SZ,国海证券,19970709,
000751.SZ,锌业股份,19970626,
000752.SZ,ST西发,19970625,
000753.SZ,漳州发展,19970626,
000755.SZ,山西高速,19970627,
000756.SZ,新华制药,19970806,
000757.SZ,浩物股份,19970627,
000758.SZ,中色股份,19970416,
000759.SZ,中百集团,19970519,
000761.SZ,本钢板材,19980115,
000762.SZ,西藏矿业,19970708,
000766.SZ,通化金马,19970430,
000767.SZ,晋控电力,19970609,
000768.SZ,中航西飞,19970626,
000776.SZ,广发证券,19970611,
000777.SZ,中核科技,19970710,
000778.SZ,新兴铸管,19970606,
000779.SZ,甘咨询,19970528,
000782.SZ,恒申新材,19970619,
000783.SZ,长江证券,19970731,
000785.SZ,居然智家,19970711,
000786.SZ,北新建材,19970606,
000788.SZ,北大医药,19970616,
000789.SZ,万年青,19970923,
000790.SZ,华神科技,19980327,
000791.SZ,甘肃能源,19971014,
000792.SZ,盐湖股份,19970904,
000793.SZ,ST华闻,19970729,
000795.SZ,英洛华,19970808,
000796.SZ,凯撒旅业,19970703,
000797.SZ,中国武夷,19970715,
000798.SZ,中水渔业,19980212,
000799.SZ,酒鬼酒,19970718,
000800.SZ,一汽解放,19970618,
000801.SZ,四川九洲,19980506,
000802.SZ,北京文化,19980108,
000803.SZ,山高环能,19980303,
000807.SZ,云铝股份,19980408,
000809.SZ,和展能源,19980616,
000810.SZ,创维数字,19980602,
000811.SZ,冰轮环境,19980528,
000812.SZ,陕西金叶,19980623,
000813.SZ,德展健康,19980519,
000815.SZ,美利云,19980609,
000816.SZ,智慧农业,19970818,
000818.SZ,航锦科技,19971017,
000819.SZ,岳阳兴长,19970625,
000820.SZ,*ST节能,19980630,
000821.SZ,ST京机,19980626,
000822.SZ,山东海化,19980703,
000823.SZ,超声电子,19971008,
000825.SZ,太钢不锈,19981021,
000826.SZ,启迪环境,19980225,
000828.SZ,东莞控股,19970617,
000829.SZ,天音控股,19971202,
000830.SZ,鲁西化工,19980807,
000831.SZ,中国稀土,19980911,
000833.SZ,粤桂股份,19981111,
000837.SZ,秦川机床,19980928,
000838.SZ,财信发展,19970626,
000839.SZ,国安股份,19971031,
000848.SZ,承德露露,19971113,
000850.SZ,华茂股份,19981007,
000852.SZ,石化机械,19981126,
000856.SZ,冀东装备,19980813,
000858.SZ,五粮液,19980427,
000859.SZ,国风新材,19981119,
000860.SZ,顺鑫农业,19981104,
000862.SZ,银星能源,19980915,
000863.SZ,三湘印象,19970925,
000868.SZ,安凯客车,19970725,
000869.SZ,张裕Ａ,20001026,
000875.SZ,吉电股份,20020926,
000876.SZ,新希望,19980311,
000877.SZ,天山股份,19990107,
000878.SZ,云南铜业,19980602,
000880.SZ,潍柴重机,19980402,
000881.SZ,中广核技,19980902,
000882.SZ,华联股份,19980616,
000883.SZ,湖北能源,19980519,
000885.SZ,城发环境,19990319,
000886.SZ,海南高速,19980123,
000887.SZ,中鼎股份,19981203,
