feature,importance
macd_dea,0.08324283
position_20d,0.08118157
std_20_ratio,0.08099922
ma5_slope,0.080769055
bias_20,0.07904524
ma20_slope,0.078682296
macd_hist,0.07779311
macd_dif,0.07592311
rsi_14,0.07539091
bias_5,0.073100865
pct_chg_1d,0.071557365
pct_chg_5d,0.071305834
pct_chg_20d,0.07100857
vol_ratio,0.0
pe_ttm,0.0
turnover_rate,0.0
position_250d,0.0
index_pct_chg,0.0
sector_pct_chg,0.0
moneyflow_score,0.0
tech_score,0.0
new_score,0.0
